    FLOAT     ,    FLOAT     ,    FLOAT     
     Msol     ,      -       ,      -       
     Mass     ,  LBV_Factor  ,  WR_Factor   
  6.319867e+01,  2.500000e-01,  4.000000e-01
  6.319867e+01,  2.500000e-01,  4.500000e-01
  6.319867e+01,  2.500000e-01,  5.000000e-01
  6.319867e+01,  2.500000e-01,  5.500000e-01
  6.319867e+01,  2.500000e-01,  6.000000e-01
  6.319867e+01,  2.500000e-01,  6.500000e-01
  6.319867e+01,  2.500000e-01,  7.000000e-01
  6.319867e+01,  2.500000e-01,  7.500000e-01
  6.319867e+01,  2.500000e-01,  8.000000e-01
  6.319867e+01,  2.500000e-01,  8.500000e-01
  6.319867e+01,  2.500000e-01,  9.000000e-01
  6.319867e+01,  2.500000e-01,  9.500000e-01
  6.319867e+01,  2.500000e-01,  1.000000e+00
  6.319867e+01,  2.500000e-01,  1.050000e+00
  6.319867e+01,  2.500000e-01,  1.100000e+00
  6.319867e+01,  2.500000e-01,  1.150000e+00
  6.319867e+01,  2.500000e-01,  1.200000e+00
  6.319867e+01,  2.500000e-01,  1.250000e+00
  6.319867e+01,  2.500000e-01,  1.300000e+00
  6.319867e+01,  2.500000e-01,  1.350000e+00
  6.319867e+01,  2.500000e-01,  1.400000e+00
  6.319867e+01,  2.500000e-01,  1.450000e+00
  6.319867e+01,  2.500000e-01,  1.500000e+00
  6.319867e+01,  2.500000e-01,  1.550000e+00
  6.319867e+01,  2.500000e-01,  1.600000e+00
  6.319867e+01,  2.500000e-01,  1.650000e+00
  6.319867e+01,  2.500000e-01,  1.700000e+00
  6.319867e+01,  2.500000e-01,  1.750000e+00
  6.319867e+01,  2.500000e-01,  1.800000e+00
  6.319867e+01,  2.500000e-01,  1.850000e+00
  6.319867e+01,  2.500000e-01,  1.900000e+00
  6.319867e+01,  2.500000e-01,  1.950000e+00
  6.319867e+01,  2.500000e-01,  2.000000e+00
  5.977995e+01,  3.000000e-01,  0.000000e+00
  5.977995e+01,  3.000000e-01,  5.000000e-02
  5.977995e+01,  3.000000e-01,  1.000000e-01
  5.977995e+01,  3.000000e-01,  1.500000e-01
  5.977995e+01,  3.000000e-01,  2.000000e-01
  5.977995e+01,  3.000000e-01,  2.500000e-01
  5.977995e+01,  3.000000e-01,  3.000000e-01
  5.977995e+01,  3.000000e-01,  3.500000e-01
  5.977995e+01,  3.000000e-01,  4.000000e-01
  5.977995e+01,  3.000000e-01,  4.500000e-01
  5.977995e+01,  3.000000e-01,  5.000000e-01
  5.977995e+01,  3.000000e-01,  5.500000e-01
  5.977995e+01,  3.000000e-01,  6.000000e-01
  5.977995e+01,  3.000000e-01,  6.500000e-01
  5.977995e+01,  3.000000e-01,  7.000000e-01
  5.977995e+01,  3.000000e-01,  7.500000e-01
  5.977995e+01,  3.000000e-01,  8.000000e-01
  5.977995e+01,  3.000000e-01,  8.500000e-01
  5.977995e+01,  3.000000e-01,  9.000000e-01
  5.977995e+01,  3.000000e-01,  9.500000e-01
  5.977995e+01,  3.000000e-01,  1.000000e+00
  5.977995e+01,  3.000000e-01,  1.050000e+00
  5.977995e+01,  3.000000e-01,  1.100000e+00
  5.977995e+01,  3.000000e-01,  1.150000e+00
  5.977995e+01,  3.000000e-01,  1.200000e+00
  5.977995e+01,  3.000000e-01,  1.250000e+00
  5.977995e+01,  3.000000e-01,  1.300000e+00
  5.977995e+01,  3.000000e-01,  1.350000e+00
  5.977995e+01,  3.000000e-01,  1.400000e+00
  5.977995e+01,  3.000000e-01,  1.450000e+00
  5.977995e+01,  3.000000e-01,  1.500000e+00
  5.977995e+01,  3.000000e-01,  1.550000e+00
  5.977995e+01,  3.000000e-01,  1.600000e+00
  5.977995e+01,  3.000000e-01,  1.650000e+00
  5.977995e+01,  3.000000e-01,  1.700000e+00
  5.977995e+01,  3.000000e-01,  1.750000e+00
  5.977995e+01,  3.000000e-01,  1.800000e+00
  5.977995e+01,  3.000000e-01,  1.850000e+00
  5.977995e+01,  3.000000e-01,  1.900000e+00
  5.977995e+01,  3.000000e-01,  1.950000e+00
  5.977995e+01,  3.000000e-01,  2.000000e+00
  5.636017e+01,  3.500000e-01,  0.000000e+00
  5.636017e+01,  3.500000e-01,  5.000000e-02
  5.636017e+01,  3.500000e-01,  1.000000e-01
  5.636017e+01,  3.500000e-01,  1.500000e-01
  5.636017e+01,  3.500000e-01,  2.000000e-01
  5.636017e+01,  3.500000e-01,  2.500000e-01
  5.636017e+01,  3.500000e-01,  3.000000e-01
  5.636017e+01,  3.500000e-01,  3.500000e-01
  5.636017e+01,  3.500000e-01,  4.000000e-01
  5.636017e+01,  3.500000e-01,  4.500000e-01
  5.636017e+01,  3.500000e-01,  5.000000e-01
  5.636017e+01,  3.500000e-01,  5.500000e-01
  5.636017e+01,  3.500000e-01,  6.000000e-01
  5.636017e+01,  3.500000e-01,  6.500000e-01
  5.636017e+01,  3.500000e-01,  7.000000e-01
  5.636017e+01,  3.500000e-01,  7.500000e-01
  5.636017e+01,  3.500000e-01,  8.000000e-01
  5.636017e+01,  3.500000e-01,  8.500000e-01
  5.636017e+01,  3.500000e-01,  9.000000e-01
  5.636017e+01,  3.500000e-01,  9.500000e-01
  5.636017e+01,  3.500000e-01,  1.000000e+00
  5.636017e+01,  3.500000e-01,  1.050000e+00
  5.636017e+01,  3.500000e-01,  1.100000e+00
  5.636017e+01,  3.500000e-01,  1.150000e+00
  5.636017e+01,  3.500000e-01,  1.200000e+00
  5.636017e+01,  3.500000e-01,  1.250000e+00
  5.636017e+01,  3.500000e-01,  1.300000e+00
  5.636017e+01,  3.500000e-01,  1.350000e+00
  5.636017e+01,  3.500000e-01,  1.400000e+00
  5.636017e+01,  3.500000e-01,  1.450000e+00
  5.636017e+01,  3.500000e-01,  1.500000e+00
  5.636017e+01,  3.500000e-01,  1.550000e+00
  5.636017e+01,  3.500000e-01,  1.600000e+00
  5.636017e+01,  3.500000e-01,  1.650000e+00
  5.636017e+01,  3.500000e-01,  1.700000e+00
  5.636017e+01,  3.500000e-01,  1.750000e+00
  5.636017e+01,  3.500000e-01,  1.800000e+00
  5.636017e+01,  3.500000e-01,  1.850000e+00
  5.636017e+01,  3.500000e-01,  1.900000e+00
  5.636017e+01,  3.500000e-01,  1.950000e+00
  5.636017e+01,  3.500000e-01,  2.000000e+00
  5.290795e+01,  4.000000e-01,  0.000000e+00
  5.290795e+01,  4.000000e-01,  5.000000e-02
  5.290795e+01,  4.000000e-01,  1.000000e-01
  5.290795e+01,  4.000000e-01,  1.500000e-01
  5.290795e+01,  4.000000e-01,  2.000000e-01
  5.290795e+01,  4.000000e-01,  2.500000e-01
  5.290795e+01,  4.000000e-01,  3.000000e-01
  5.290795e+01,  4.000000e-01,  3.500000e-01
  5.290795e+01,  4.000000e-01,  4.000000e-01
  5.290795e+01,  4.000000e-01,  4.500000e-01
  5.290795e+01,  4.000000e-01,  5.000000e-01
  5.290795e+01,  4.000000e-01,  5.500000e-01
  5.290795e+01,  4.000000e-01,  6.000000e-01
  5.290795e+01,  4.000000e-01,  6.500000e-01
  5.290795e+01,  4.000000e-01,  7.000000e-01
  5.290795e+01,  4.000000e-01,  7.500000e-01
  5.290795e+01,  4.000000e-01,  8.000000e-01
  5.290795e+01,  4.000000e-01,  8.500000e-01
  5.290795e+01,  4.000000e-01,  9.000000e-01
  5.290795e+01,  4.000000e-01,  9.500000e-01
  5.290795e+01,  4.000000e-01,  1.000000e+00
  5.290795e+01,  4.000000e-01,  1.050000e+00
  5.290795e+01,  4.000000e-01,  1.100000e+00
  5.290795e+01,  4.000000e-01,  1.150000e+00
  5.290795e+01,  4.000000e-01,  1.200000e+00
  5.290795e+01,  4.000000e-01,  1.250000e+00
  5.290795e+01,  4.000000e-01,  1.300000e+00
  5.290795e+01,  4.000000e-01,  1.350000e+00
  5.290795e+01,  4.000000e-01,  1.400000e+00
  5.290795e+01,  4.000000e-01,  1.450000e+00
  5.290795e+01,  4.000000e-01,  1.500000e+00
  5.290795e+01,  4.000000e-01,  1.550000e+00
  5.290795e+01,  4.000000e-01,  1.600000e+00
  5.290795e+01,  4.000000e-01,  1.650000e+00
  5.290795e+01,  4.000000e-01,  1.700000e+00
  5.290795e+01,  4.000000e-01,  1.750000e+00
  5.290795e+01,  4.000000e-01,  1.800000e+00
  5.290795e+01,  4.000000e-01,  1.850000e+00
  5.290795e+01,  4.000000e-01,  1.900000e+00
  5.290795e+01,  4.000000e-01,  1.950000e+00
  5.290795e+01,  4.000000e-01,  2.000000e+00
  4.932686e+01,  4.500000e-01,  0.000000e+00
  4.932686e+01,  4.500000e-01,  5.000000e-02
  4.932686e+01,  4.500000e-01,  1.000000e-01
  4.932686e+01,  4.500000e-01,  1.500000e-01
  4.932686e+01,  4.500000e-01,  2.000000e-01
  4.932686e+01,  4.500000e-01,  2.500000e-01
  4.932686e+01,  4.500000e-01,  3.000000e-01
  4.932686e+01,  4.500000e-01,  3.500000e-01
  4.932686e+01,  4.500000e-01,  4.000000e-01
  4.932686e+01,  4.500000e-01,  4.500000e-01
  4.932686e+01,  4.500000e-01,  5.000000e-01
  4.932686e+01,  4.500000e-01,  5.500000e-01
  4.932686e+01,  4.500000e-01,  6.000000e-01
  4.932686e+01,  4.500000e-01,  6.500000e-01
  4.932686e+01,  4.500000e-01,  7.000000e-01
  4.932686e+01,  4.500000e-01,  7.500000e-01
  4.932686e+01,  4.500000e-01,  8.000000e-01
  4.932686e+01,  4.500000e-01,  8.500000e-01
  4.932686e+01,  4.500000e-01,  9.000000e-01
  4.932686e+01,  4.500000e-01,  9.500000e-01
  4.932686e+01,  4.500000e-01,  1.000000e+00
  4.932686e+01,  4.500000e-01,  1.050000e+00
  4.932686e+01,  4.500000e-01,  1.100000e+00
  4.932686e+01,  4.500000e-01,  1.150000e+00
  4.932686e+01,  4.500000e-01,  1.200000e+00
  4.932686e+01,  4.500000e-01,  1.250000e+00
  4.932686e+01,  4.500000e-01,  1.300000e+00
  4.932686e+01,  4.500000e-01,  1.350000e+00
  4.932686e+01,  4.500000e-01,  1.400000e+00
  4.932686e+01,  4.500000e-01,  1.450000e+00
  4.932686e+01,  4.500000e-01,  1.500000e+00
  4.932686e+01,  4.500000e-01,  1.550000e+00
  4.932686e+01,  4.500000e-01,  1.600000e+00
  4.932686e+01,  4.500000e-01,  1.650000e+00
  4.932686e+01,  4.500000e-01,  1.700000e+00
  4.932686e+01,  4.500000e-01,  1.750000e+00
  4.932686e+01,  4.500000e-01,  1.800000e+00
  4.932686e+01,  4.500000e-01,  1.850000e+00
  4.932686e+01,  4.500000e-01,  1.900000e+00
  4.932686e+01,  4.500000e-01,  1.950000e+00
  4.932686e+01,  4.500000e-01,  2.000000e+00
  4.569422e+01,  5.000000e-01,  0.000000e+00
  4.569422e+01,  5.000000e-01,  5.000000e-02
  4.569422e+01,  5.000000e-01,  1.000000e-01
  4.569422e+01,  5.000000e-01,  1.500000e-01
  4.569422e+01,  5.000000e-01,  2.000000e-01
  4.569422e+01,  5.000000e-01,  2.500000e-01
  4.569422e+01,  5.000000e-01,  3.000000e-01
  4.569422e+01,  5.000000e-01,  3.500000e-01
  4.569422e+01,  5.000000e-01,  4.000000e-01
  4.569422e+01,  5.000000e-01,  4.500000e-01
  4.569422e+01,  5.000000e-01,  5.000000e-01
  4.569422e+01,  5.000000e-01,  5.500000e-01
  4.569422e+01,  5.000000e-01,  6.000000e-01
  4.569422e+01,  5.000000e-01,  6.500000e-01
  4.569422e+01,  5.000000e-01,  7.000000e-01
  4.569422e+01,  5.000000e-01,  7.500000e-01
  4.569422e+01,  5.000000e-01,  8.000000e-01
  4.569422e+01,  5.000000e-01,  8.500000e-01
  4.569422e+01,  5.000000e-01,  9.000000e-01
  4.569422e+01,  5.000000e-01,  9.500000e-01
  4.569422e+01,  5.000000e-01,  1.000000e+00
  4.569422e+01,  5.000000e-01,  1.050000e+00
  4.569422e+01,  5.000000e-01,  1.100000e+00
  4.569422e+01,  5.000000e-01,  1.150000e+00
  4.569422e+01,  5.000000e-01,  1.200000e+00
  4.569422e+01,  5.000000e-01,  1.250000e+00
  4.569422e+01,  5.000000e-01,  1.300000e+00
  4.569422e+01,  5.000000e-01,  1.350000e+00
  4.569422e+01,  5.000000e-01,  1.400000e+00
  4.569422e+01,  5.000000e-01,  1.450000e+00
  4.569422e+01,  5.000000e-01,  1.500000e+00
  4.569422e+01,  5.000000e-01,  1.550000e+00
  4.569422e+01,  5.000000e-01,  1.600000e+00
  4.569422e+01,  5.000000e-01,  1.650000e+00
  4.569422e+01,  5.000000e-01,  1.700000e+00
  4.569422e+01,  5.000000e-01,  1.750000e+00
  4.569422e+01,  5.000000e-01,  1.800000e+00
  4.569422e+01,  5.000000e-01,  1.850000e+00
  4.569422e+01,  5.000000e-01,  1.900000e+00
  4.569422e+01,  5.000000e-01,  1.950000e+00
  4.569422e+01,  5.000000e-01,  2.000000e+00
  4.197191e+01,  5.500000e-01,  0.000000e+00
  4.197191e+01,  5.500000e-01,  5.000000e-02
  4.197191e+01,  5.500000e-01,  1.000000e-01
  4.197191e+01,  5.500000e-01,  1.500000e-01
  4.197191e+01,  5.500000e-01,  2.000000e-01
  4.197191e+01,  5.500000e-01,  2.500000e-01
  4.197191e+01,  5.500000e-01,  3.000000e-01
  4.197191e+01,  5.500000e-01,  3.500000e-01
  4.197191e+01,  5.500000e-01,  4.000000e-01
  4.197191e+01,  5.500000e-01,  4.500000e-01
  4.197191e+01,  5.500000e-01,  5.000000e-01
  4.197191e+01,  5.500000e-01,  5.500000e-01
  4.197191e+01,  5.500000e-01,  6.000000e-01
  4.197191e+01,  5.500000e-01,  6.500000e-01
  4.197191e+01,  5.500000e-01,  7.000000e-01
  4.197191e+01,  5.500000e-01,  7.500000e-01
  4.197191e+01,  5.500000e-01,  8.000000e-01
  4.197191e+01,  5.500000e-01,  8.500000e-01
  4.197191e+01,  5.500000e-01,  9.000000e-01
  4.197191e+01,  5.500000e-01,  9.500000e-01
  4.197191e+01,  5.500000e-01,  1.000000e+00
  4.197191e+01,  5.500000e-01,  1.050000e+00
  4.197191e+01,  5.500000e-01,  1.100000e+00
  4.197191e+01,  5.500000e-01,  1.150000e+00
  4.197191e+01,  5.500000e-01,  1.200000e+00
  4.197191e+01,  5.500000e-01,  1.250000e+00
  4.197191e+01,  5.500000e-01,  1.300000e+00
  4.197191e+01,  5.500000e-01,  1.350000e+00
  4.197191e+01,  5.500000e-01,  1.400000e+00
  4.197191e+01,  5.500000e-01,  1.450000e+00
  4.197191e+01,  5.500000e-01,  1.500000e+00
  4.197191e+01,  5.500000e-01,  1.550000e+00
  4.197191e+01,  5.500000e-01,  1.600000e+00
  4.197191e+01,  5.500000e-01,  1.650000e+00
  4.197191e+01,  5.500000e-01,  1.700000e+00
  4.197191e+01,  5.500000e-01,  1.750000e+00
  4.197191e+01,  5.500000e-01,  1.800000e+00
  4.197191e+01,  5.500000e-01,  1.850000e+00
  4.197191e+01,  5.500000e-01,  1.900000e+00
  4.197191e+01,  5.500000e-01,  1.950000e+00
  4.197191e+01,  5.500000e-01,  2.000000e+00
  3.824487e+01,  6.000000e-01,  0.000000e+00
  3.824487e+01,  6.000000e-01,  5.000000e-02
  3.824487e+01,  6.000000e-01,  1.000000e-01
  3.824487e+01,  6.000000e-01,  1.500000e-01
  3.824487e+01,  6.000000e-01,  2.000000e-01
  3.824487e+01,  6.000000e-01,  2.500000e-01
  3.824487e+01,  6.000000e-01,  3.000000e-01
  3.824487e+01,  6.000000e-01,  3.500000e-01
  3.824487e+01,  6.000000e-01,  4.000000e-01
  3.824487e+01,  6.000000e-01,  4.500000e-01
  3.824487e+01,  6.000000e-01,  5.000000e-01
  3.824487e+01,  6.000000e-01,  5.500000e-01
  3.824487e+01,  6.000000e-01,  6.000000e-01
  3.824487e+01,  6.000000e-01,  6.500000e-01
  3.824487e+01,  6.000000e-01,  7.000000e-01
  3.824487e+01,  6.000000e-01,  7.500000e-01
  3.824487e+01,  6.000000e-01,  8.000000e-01
  3.824487e+01,  6.000000e-01,  8.500000e-01
